"Marca temporal"," 1. Ingresa tu edad:","2. ¿Con cuál género te identificas?","3. ¿Cuál es tu departamento de residencia?","4. ¿Cuál es tu mayor preocupación respecto a la situación del país?","5. ¿Cómo reaccionas frente a tu mayor preocupación?","6.  ¿Cómo percibís tu entorno en general? (Puedes seleccionar más de una opción)","7. ¿Qué emociones predominan en tu día a día? (Puedes seleccionar más de una opción)","8. ¿Qué valores crees que necesita nuestro país para mejorar? (Puedes seleccionar más de una opción)","9. Respecto del país, completa la siguiente frase: Quiero creer que...","10. Respecto del país, completa la siguiente frase: Quiero dejar de creer que...","11. Respecto del país, completa la siguiente frase: Quiero empezar a creer que...","12. Del 0 al 10 cuál es tu nivel de optimismo respecto a que el próximo gobierno dé respuestas a tus preocupaciones: ","13. ¿A quién o cómo votarías en las siguientes elecciones PASO (Primarias, Abiertas, Simultáneas y Obligatorias)​ ?","14. ¿Cómo ves a la Argentina en 2030?","15. Teniendo en cuenta las respuestas anteriores:","16. ¿Qué áreas deberían reforzarse o desarrollarse para mejorar la situación de la Argentina? (Puedes seleccionar más de una opción)"
"2023/05/11 2:49:26 p. m. GMT-3","15","Femenino","Guaymallén","Economia","Busco soluciones o me comprometo","Complicado","Enojo","Responsabilidad","El país va a mejorar ","Que no voy a tener futuro ","Voy a ser exitosa ","0","No iré votar","Peor","Tengo decidido emigrar","Estabilidad económica"
"2023/05/11 4:30:54 p. m. GMT-3","18","Masculino","Capital","Economia","Busco soluciones o me comprometo","Cómodo","Calma","a milei y todos los anteriores ","quiero creer que el presidente de la nación Argentina javier mieli realizara un buen mandato","deje de creer que no tiene solucion cuando milei aparecio","empezare a creer en la libertad ","10","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 4:36:01 p. m. GMT-3","17","Masculino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Inseguro","Sorpresa","Responsabilidad","La economía nos salvará de la deuda","Nuestra discriminación es por causa de la economía ","Argentina puede llegar a ser potencia mundial ","8","No iré votar","Mejor","Lo estoy pensando","Estabilidad económica"
"2023/05/11 4:36:03 p. m. GMT-3","44","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Inseguro","Tristeza","Todos los anteriores","Vamos a salir de este pozo","Esto no tiene cambio","Vamos a salir adelante ","9","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 4:36:20 p. m. GMT-3","53","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Ansioso","Optimismo","Honestidad","Mejorara","La situación es irreversible","Los políticos son honestos","4","Libertad Avanza","Mejor","Lo estoy pensando","Desarrollo humano"
"2023/05/11 4:36:51 p. m. GMT-3","17","Prefiero no decirlo","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Cómodo","Alegría","Todos los anteriores","Van a dejar de gobernar los mismo","el pais no va a mejorar","el pais va a mejorar","5","En blanco","Igual","Tengo decidido emigrar","Estabilidad política"
"2023/05/11 4:43:53 p. m. GMT-3","17","Masculino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Calma","Todos los anteriores","que si se cambia de presidente/partido politico, va a cambiar ","todo va a estar peor","cambiando de gobierno va a cambiar","9","Libertad Avanza","Peor","Tengo decidido emigrar","Estabilidad política"
"2023/05/11 4:56:24 p. m. GMT-3","54","Femenino","Guaymallén","Todas las anteriores","Busco ayuda","Complicado;Ansioso;Inseguro;Violento","Tristeza;Optimismo;Ansiedad","Esfuerzo;Trabajo;Empatía;Cooperación;Honestidad;Compromiso;Responsabilidad","Todo es posible","Argentina está perdida","El próximo gobierno cambiará la situación actual","5","Libertad Avanza","Mejor","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 4:56:32 p. m. GMT-3","30","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Ansioso;Incómodo;Inseguro;Violento;Preocupado","Miedo;Tristeza;Enojo;Fastidio;Confusión;Aversión;Ansiedad","Empatía;Responsabilidad;Solidaridad;Creo que no necesita otros valores;Esfuerzo;Compromiso;Cooperación;Todos los anteriores;Autocrítica;Trabajo;Honestidad","Los políticos van a dejar de robar ","Q la situación del país no va a cambiar ","Vamos a estar mejor ","8","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 6:00:41 p. m. GMT-3","18","Masculino","Guaymallén","Trabajo","Busco soluciones o me comprometo","Inseguro;Violento","Miedo;Tristeza;Enojo;Confusión","Honestidad;Compromiso;Empatía;Cooperación;Trabajo;Responsabilidad","Vamos a mejor","Vamos a pasarla mal ","Este es el camino ","7","Libertad Avanza","Mejor","Lo estoy pensando","Estabilidad económica;Mejor educación"
"2023/05/11 7:14:17 p. m. GMT-3","45","Femenino","Guaymallén","Inseguridad","Busco soluciones o me comprometo","Inseguro","Confusión","Honestidad","Que va a cambiar el pais ","Va dejar de ser inseguro ","Que va ser mejor ","5","No iré votar","Igual","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 8:05:22 p. m. GMT-3","40","Masculino","Guaymallén","Todas las anteriores","Espero que otros la solucionen","Complicado;Ansioso;Inseguro;Contenedor","Alegría;Sorpresa;Miedo;Indiferencia;Tristeza;Enojo;Optimismo;Fastidio;Pesimismo;Confusión;Ansiedad","Empatía;Solidaridad;Cooperación;Esfuerzo;Compromiso;Honestidad;Trabajo;Autocrítica;Responsabilidad","Todo va a mejorar.","Los políticos son corruptos.","La economia mejorará","3","En blanco","Peor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 8:11:23 p. m. GMT-3","44","Femenino","Luján de Cuyo","Salud","Busco soluciones o me comprometo","Complicado","Confusión","Solidaridad","Se dará una toma de conciencia social","Nada se puede cambiar","Se pondrá más atención a las necesidades de los trabajadores","4","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/11 8:24:47 p. m. GMT-3","50","Masculino","Maipú","Economia","Prefiero no pensar","Inseguro;Violento","Fastidio","Autocrítica;Honestidad;Empatía","Podemos salir adelante,  si hay honestidad y autocrica","Que la casta politica va cambiar ","Que haya un cambio de gente que gobierna el pais","3","Anularé mi voto","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Estabilidad política"
"2023/05/11 8:30:26 p. m. GMT-3","70 años ","Masculino","Guaymallén","Todas las anteriores","Prefiero no pensar","Ansioso","Nostalgia","Honestidad","Mejorará ","Vamos a estar peor ","El próximo gobierno sera mejor ","7","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 8:38:17 p. m. GMT-3","43","Femenino","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado;desinformado","Tristeza","Responsabilidad;Solidaridad;Cooperación;Autocrítica;Empatía","que la verdad predominará sobre las injusticias","No podremos","la fuerza social ","7","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 9:28:39 p. m. GMT-3","63años","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Inseguro;Violento","Enojo;Fastidio;Pesimismo","Creo que no necesita otros valores;Responsabilidad;Honestidad;Solidaridad;Compromiso;Cooperación;Todos los anteriores","Que todo va a cambiar para bien, que se termine la corrupción y se vayan todos los nefastos que nos están saqueando la vida y el país que tanto amo","Que no hay justicia todo lo yvie","Que todo va a cambiar ","7","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/11 9:33:18 p. m. GMT-3","49","Prefiero no decirlo","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Tristeza","Trabajo;Autocrítica;Solidaridad;Empatía;Compromiso;Honestidad","Se lograra estabilidad y progreso","La violencia avanza","Tendremos justicia social ","4","Frente de Todos","Igual","Lo estoy pensando","Estabilidad económica;Mejor educación;Desarrollo humano"
"2023/05/11 9:54:47 p. m. GMT-3","57","Femenino","Capital","Todas las anteriores","Busco ayuda","Incómodo","Enojo","Compromiso;Cooperación;Solidaridad;Trabajo;Empatía;Responsabilidad;Todos los anteriores","Vendran tiempos mejores","Siempre sera lo mismo ","Algun dia cambiara ","6","Otros candidatos","Igual","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 11:09:04 p. m. GMT-3","50","Femenino","Guaymallén","Educación","Busco soluciones o me comprometo","Complicado","Optimismo","Compromiso","Se normalizará y saldrá adelante este pais","Estaremos peor. No hay solucion","Alguna luz de esperanza habra","6","Juntos por el cambio","Mejor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 10:30:15 a. m. GMT-3","66","Masculino","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Optimismo","Responsabilidad;Trabajo;Honestidad;Compromiso;Solidaridad;Esfuerzo","Con mucho esfuerzo saldremos adelante","No tenemos salida","Con mucho esfuerzo saldremos sdelante","0","Otros candidatos","Igual","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Estabilidad política"
"2023/05/12 11:11:26 a. m. GMT-3","50","Masculino","Capital","Economia","Espero que otros la solucionen","Complicado","Optimismo","Cooperación;Compromiso;Empatía","Todo va a cambiar","Que somos un país inculto","Los políticos no roben","4","Frente de Todos","Peor","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/12 9:44:12 p. m. GMT-3","41","Femenino","Maipú","Economia","Busco soluciones o me comprometo","Complicado","Ansiedad","Todos los anteriores","Todo va a cambiar ","Son todos los políticos iguales","Hay empatía ","1","Otros candidatos","Igual","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/12 9:49:33 p. m. GMT-3","37","Femenino","Godoy Cruz","Educación","Busco soluciones o me comprometo","Alegre","Alegría","Compromiso","Habrá más compromiso ","Serán corruptos","Tendremos compromiso ","7","Juntos por el cambio","Mejor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 9:51:40 p. m. GMT-3","37","Masculino","Guaymallén","Todas las anteriores","Espero que otros la solucionen","Complicado","Fastidio","Compromiso","Se puede superar esta crisis.","En todas las promesas de los políticos ","El país va a salir adelante.","0","No iré votar","Peor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 9:54:16 p. m. GMT-3","35","Femenino","Godoy Cruz","Economia","Busco soluciones o me comprometo","Inseguro","Ansiedad","Compromiso","Algún día saldremos de esta","Este país no tiene solución ","Todo cambiará ","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación"
"2023/05/12 10:03:20 p. m. GMT-3","41","Femenino","Godoy Cruz","Todas las anteriores","Busco ayuda","Incómodo","Ansiedad","Empatía"," va estar mejor","Van a seguir robando","Hay un cambio radical","7","Otros candidatos","Mejor","Lo estoy pensando","Desarrollo humano"
"2023/05/12 10:07:54 p. m. GMT-3","45","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Alegre","Alegría;Optimismo","Todos los anteriores","Que vamos a salir adelante ","Que no tiene solución ","Somos un país con gente trabajadora y honesta","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/12 10:08:32 p. m. GMT-3","32","Femenino","Maipú","Economia","Busco ayuda","Complicado","Enojo","Honestidad","Todo va a mejorar ","La economía va a empeorar","La economía va a mejorar ","4","No iré votar","Peor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 10:11:00 p. m. GMT-3","31","Femenino","Maipú","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Confusión","Esfuerzo;Honestidad;Trabajo;Compromiso;Autocrítica;Cooperación;Responsabilidad","La situación actual en algún momento llegará a su fin y que la situación será mejor para todos pero es de ilusos tener este pensamiento con la cantidad de personas que se ríen de la desgracia de la gente como los políticos nefastos ","Que los políticos nefastos que nos representan van a pagar por todo el daño producido ","En algún momento se podrá confiar en los que nos representan ","4","Juntos por el cambio","Igual","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
